Symbol,Name,,,CASH_RATIO,CASH_RATIO,True Cash Ratio,RETURN_COM_EQY,PX_TO_BOOK_RATIO,PE_RATIO,SHORT_INT_RATIO,TOT_DEBT_TO_COM_EQY,IS_EPS,Last price,,
DDD,3D Systems Corporation,DDD US Equity,DDD UA Equity,0.558,0.558,0.558,-12.35229018,2.637219037,null,22.379,1.2404,-0.19,14.2,27/06/2017 17:00,9.51
MMM,3M Company,MMM US Equity,MMM UA Equity,0.4571,0.4571,0.4571,37.66730402,10.51955442,25.3366,2.959,142.6619,1.01,199.15,27/06/2017 17:00,236.58
WBAI,500.com Limited,WBAI US Equity,WBAI UA Equity,6.1543,6.1543,6.1543,-20.76491578,3.134656689,null,26.07,1.913,-1.4,15.97,27/06/2017 17:00,9.54
WUBA,58.com Inc.,WUBA US Equity,WUBA UA Equity,0.9377,0.9377,0.9377,7.842562916,3.466236269,247.7696,1.584,4.1318,1.18,69.68,27/06/2017 17:00,68.93
EGHT,8x8 Inc,EGHT US Equity,EGHT UA Equity,4.0372,4.0372,4.0372,-41.19122937,7.98930179,31.7871,2.115,0,-0.14,19.775,27/06/2017 17:00,14.1
AHC,A.H. Belo Corporation,AHC US Equity,AHC UA Equity,1.6529,3.8299,1.6529,12.38072109,1.109513513,971.1333,1.213,0,-0.19,4.75,27/06/2017 17:00,4.85
ATEN,"A10 Networks, Inc.",ATEN US Equity,ATEN UA Equity,#VALUE!,3.3858,3.3858,-19.27119588,4.96826244,null,5.319,#N/A N/A,#N/A N/A,6.34,27/06/2017 17:00,7.69
AAC,"AAC Holdings, Inc.",AAC US Equity,AAC UA Equity,0.3138,3.017,0.3138,-12.45305726,1.540615894,12.3618,14.426,193.2304,-0.01,9.86,27/06/2017 17:00,9.11
AIR,AAR Corp.,AIR US Equity,AIR UA Equity,0.0307,2.7063,0.0307,2.743072908,1.757295253,23.9651,4.814,21.2413,#N/A N/A,47.9,27/06/2017 17:00,41.69
AAN,"Aaron&#39;s,  Inc.",AAN US Equity,AAN UA Equity,0.7262,0.0484,0.7262,17.90218294,1.788510559,17.3021,7.15,20.4146,0.75,44.62,27/06/2017 17:00,36.02
ABB,ABB Ltd,ABB US Equity,ABB UA Equity,0.253,0.0805,0.253,14.82840492,null,null,2.974,57.9395,#N/A N/A,21.855,27/06/2017 17:00,26.03
ABT,Abbott Laboratories,ABT US Equity,ABT UA Equity,0.4486,0.0732,0.4486,1.516865569,3.383090131,34.7967,2.721,69.7188,0.24,61.84,27/06/2017 17:00,55.7
ABBV,AbbVie Inc.,ABBV US Equity,ABBV UA Equity,0.5554,0.5554,0.5554,148.567419,41.46234678,15.5738,2.944,1049.4512,1.74,93.06,27/06/2017 17:00,96.3
ANF,Abercrombie & Fitch Company,ANF US Equity,ANF UA Equity,1.0005,1.0005,1.0005,2.240878481,1.528104197,119.5957,5.754,25.3692,-0.62,26.712,27/06/2017 17:00,17.45
AGD,Aberdeen Global Dynamic Dividend Fund,AGD US Equity,AGD UA Equity,#VALUE!,0.8459,0.8459,null,null,null,0.527,#N/A N/A,#N/A N/A,10.39,27/06/2017 17:00,10.62
AWP,Aberdeen Global Premier Properties Fund,AWP US Equity,AWP UA Equity,#VALUE!,0.8101,0.8101,null,null,null,0.179,#N/A N/A,#N/A N/A,6.3693,27/06/2017 17:00,6.53
ACP,Aberdeen Income Credit Strategies Fund,ACP US Equity,ACP UA Equity,#VALUE!,1.331,1.331,null,null,null,0.134,#N/A N/A,#N/A N/A,13.89,27/06/2017 17:00,13.92
JEQ,"Aberdeen Japan Equity Fund, Inc. ",JEQ US Equity,JEQ UA Equity,#VALUE!,1.2824,1.2824,null,null,null,0.394,#N/A N/A,#N/A N/A,8.8,27/06/2017 17:00,9.35
AOD,Aberdeen Total Dynamic Dividend Fund,AOD US Equity,AOD UA Equity,#VALUE!,#VALUE!,null,null,null,null,0.161,#N/A N/A,#N/A N/A,8.845,27/06/2017 17:00,9.18
ABM,ABM Industries Incorporated,ABM US Equity,ABM UA Equity,0.0981,0.0981,0.0981,7.033948277,1.366666874,20.8032,5.796,77.0778,0.4,30.25,27/06/2017 17:00,43.83
AKR,Acadia Realty Trust,AKR US Equity,AKR UA Equity,#VALUE!,0.099,0.099,3.398681942,1.522830835,55.3032,5.364,100.0883,0.09,28.0701,27/06/2017 17:00,27.28
ACN,Accenture plc,ACN US Equity,ACN UA Equity,0.4204,0.4204,0.4204,40.67884435,10.27190119,21.5394,4.595,0.2978,#N/A N/A,158.33,27/06/2017 17:00,152.1
ACCO,Acco Brands Corporation,ACCO US Equity,ACCO UA Equity,0.2509,0.3734,0.2509,18.68843611,1.884738562,15.5922,8.348,124.3268,0.1,13.825,27/06/2017 17:00,12.45
