Symbol,Name,cash_ratio,return_to_equity,price_to_book,pe,short_interest_ratio,debt_to_equity,eps,last_price,previous_year_price
DDD,3D Systems Corporation,0.558,-12.35229018,2.637219037,null,22.379,1.2404,-0.19,14.2,9.51
MMM,3M Company,0.4571,37.66730402,10.51955442,25.3366,2.959,142.6619,1.01,199.15,236.58
WBAI,500.com Limited,6.1543,-20.76491578,3.134656689,null,26.07,1.913,-1.4,15.97,9.54
WUBA,58.com Inc.,0.9377,7.842562916,3.466236269,247.7696,1.584,4.1318,1.18,69.68,68.93
EGHT,8x8 Inc,4.0372,-41.19122937,7.98930179,31.7871,2.115,0,-0.14,19.775,14.1
AHC,A.H. Belo Corporation,1.6529,12.38072109,1.109513513,971.1333,1.213,0,-0.19,4.75,4.85
ATEN,"A10 Networks, Inc.",3.3858,-19.27119588,4.96826244,null,5.319,null,null,6.34,7.69
AAC,"AAC Holdings, Inc.",0.3138,-12.45305726,1.540615894,12.3618,14.426,193.2304,-0.01,9.86,9.11
AIR,AAR Corp.,0.0307,2.743072908,1.757295253,23.9651,4.814,21.2413,null,47.9,41.69
AAN,"Aaron&#39;s,  Inc.",0.7262,17.90218294,1.788510559,17.3021,7.15,20.4146,0.75,44.62,36.02
ABB,ABB Ltd,0.253,14.82840492,null,null,2.974,57.9395,null,21.855,26.03
ABT,Abbott Laboratories,0.4486,1.516865569,3.383090131,34.7967,2.721,69.7188,0.24,61.84,55.7
ABBV,AbbVie Inc.,0.5554,148.567419,41.46234678,15.5738,2.944,1049.4512,1.74,93.06,96.3
ANF,Abercrombie & Fitch Company,1.0005,2.240878481,1.528104197,119.5957,5.754,25.3692,-0.62,26.712,17.45
AGD,Aberdeen Global Dynamic Dividend Fund,0.8459,null,null,null,0.527,null,null,10.39,10.62
AWP,Aberdeen Global Premier Properties Fund,0.8101,null,null,null,0.179,null,null,6.3693,6.53
ACP,Aberdeen Income Credit Strategies Fund,1.331,null,null,null,0.134,null,null,13.89,13.92
JEQ,"Aberdeen Japan Equity Fund, Inc. ",1.2824,null,null,null,0.394,null,null,8.8,9.35
AOD,Aberdeen Total Dynamic Dividend Fund,null,null,null,null,0.161,null,null,8.845,9.18
ABM,ABM Industries Incorporated,0.0981,7.033948277,1.366666874,20.8032,5.796,77.0778,0.4,30.25,43.83
AKR,Acadia Realty Trust,0.099,3.398681942,1.522830835,55.3032,5.364,100.0883,0.09,28.0701,27.28
ACN,Accenture plc,0.4204,40.67884435,10.27190119,21.5394,4.595,0.2978,null,158.33,152.1
ACCO,Acco Brands Corporation,0.2509,18.68843611,1.884738562,15.5922,8.348,124.3268,0.1,13.825,12.45
ATV,"Acorn International, Inc.",0.3841,null,0.874750805,null,0.1,null,null,15.7203,16.0795
ATU,Actuant Corporation,0.6058,-14.1135676,2.940780463,25.1396,16.323,92.8789,0.48,29.3,26
AYI,Acuity Brands Inc,0.4799,19.82793699,2.986441755,27.9813,8.777,21.8181,null,122.51,174.23
GOLF,Acushnet Holdings Corp.,0.5595,11.76630785,2.108809945,20.8663,32.925,67.1033,0.56,24.58,19.78
ADX,"Adams Diversified Equity Fund, Inc.",0.4509,null,null,null,3.771,null,null,15.4857,14.84
PEO,"Adams Natural Resources Fund, Inc.",null,null,null,null,4.225,null,null,20.12,19.03
AGRO,Adecoagro S.A.,0.6044,2.143245161,1.6236664,55.1124,1.72,132.2351,0.0703,8.52,10.22
ADNT,Adient plc,0.0977,4.259187119,1.14687814,5.7873,11.915,90.3908,-1.8,50.11,80.38
ADT,ADT Inc.,0.0796,9.467334467,2.72482013,33.7049,10.547,217.726,null,8.905,
ATGE,Adtalem Global Education Inc.,0.6519,0.860483887,1.807249847,15.4376,10.076,7.7008,0.64,47.4,45.15
AAP,Advance Auto Parts Inc,0.6168,15.35005424,2.83900553,19.6349,3.624,29.4578,1.85,136.606,103.03
ADSW,"Advanced Disposal Services, Inc.",0.7294,5.502989493,2.411083253,90.4029,1.458,215.4388,0.02,25.37,23.31
WMS,"Advanced Drainage Systems, Inc.",0.7119,76.81781348,13.73087983,35.8453,6.958,323.3624,-0.11,29.05,22.6
ASIX,AdvanSix Inc.,0.0381,41.3137885,2.930791943,10.9684,3.334,59.0004,0.38,38.4,40.64
AAV,Advantage Oil & Gas Ltd,0.0494,4.883025328,null,null,10.081,17.9368,null,3.225,4.05
AVK,Advent Claymore Convertible Securities and Income Fund,0.0932,null,null,null,0.376,null,null,15.322,15.83
AGC,Advent Claymore Convertible Securities and Income Fund II,0.0795,null,null,null,0.359,null,null,5.61,5.99
LCM,Advent/Claymore Enhanced Growth & Income Fund,null,null,null,null,0.12,null,null,7.79,8.32
ACM,AECOM,0.1433,4.782928314,1.289196675,15.1702,5.091,97.7223,-0.75,33.66,38.82
ANW,Aegean Marine Petroleum Network Inc.,0.1537,-5.021025878,0.04842298,15.0213,8.199,null,null,0.74,4.25
AEB,Aegon NV,null,null,null,null,null,null,null,null,
AED,Aegon NV,null,null,null,null,null,null,null,null,
AEG,Aegon NV,null,11.38012154,null,null,5.218,null,null,5.96,6.2
AEH,Aegon NV,null,null,null,null,null,null,null,null,
AER,Aercap Holdings N.V.,null,12.62692129,0.923256046,7.6409,8.271,336.2219,1.8,54.28,52.54
HIVE,"Aerohive Networks, Inc.",1.0564,-98.06857037,11.64212349,null,2.778,99.1277,-0.13,4.26,5.59
AJRD,"Aerojet Rocketdyne Holdings, Inc. ",0.6681,-0.619914762,12.58787261,15.5126,15.672,362.8842,0.19,29.99,30.64
AET,Aetna Inc.,0.5279,22.79265469,3.788040493,15.7018,3.337,55.8544,3.69,188.46,181.33
AMG,"Affiliated Managers Group, Inc.",null,19.8322753,2.427503429,18.3473,3.177,76.2333,2.8,151.445,196.75
AFL,Aflac Incorporated,null,20.1537186,1.401901192,11.2939,4.434,22.1188,0.92,43.91,88.76
